property_id,location,property_type,bedrooms,size_sqm,monthly_rent_kes,purchase_price_kes,calculated_rental_yield_pct
NRB_PROP_1000,Westlands,Apartment,3,117,25000,4375013,6.86
NRB_PROP_1001,Kileleshwa,Apartment,1,48,25000,3718981,8.07
NRB_PROP_1002,Kilimani,Apartment,1,43,25000,4434437,6.77
NRB_PROP_1003,Kilimani,Townhouse,4,157,25000,4430305,6.77
NRB_PROP_1004,Karen,Apartment,2,77,25000,3553034,8.44
NRB_PROP_1005,Langata,Bungalow,2,77,25000,4442076,6.75
NRB_PROP_1006,Langata,Apartment,1,46,25000,4092911,7.33
NRB_PROP_1007,Langata,Bungalow,3,106,25000,3399453,8.82
NRB_PROP_1008,South B,Apartment,4,144,25000,4780266,6.28
NRB_PROP_1009,Karen,Bungalow,2,75,25000,3543585,8.47
NRB_PROP_1010,Kilimani,Townhouse,3,122,25000,3175182,9.45
NRB_PROP_1011,Lavington,Apartment,4,150,25000,4302365,6.97
NRB_PROP_1012,Langata,Townhouse,3,112,25000,4141674,7.24
NRB_PROP_1013,Karen,Apartment,2,74,25000,3812191,7.87
NRB_PROP_1014,Lavington,Townhouse,4,146,25000,4093833,7.33
NRB_PROP_1015,Lavington,Bungalow,1,41,25000,4410682,6.8
NRB_PROP_1016,Kilimani,Bungalow,4,149,25000,4324577,6.94
NRB_PROP_1017,Lavington,Bungalow,2,84,25000,3617057,8.29
NRB_PROP_1018,Parklands,Studio,1,46,25000,4615348,6.5
NRB_PROP_1019,Kileleshwa,Townhouse,3,108,25000,3482480,8.61
NRB_PROP_1020,Parklands,Studio,1,48,25000,4128258,7.27
NRB_PROP_1021,Kileleshwa,Studio,1,44,25000,4748200,6.32
NRB_PROP_1022,Kilimani,Apartment,2,72,25000,3660294,8.2
NRB_PROP_1023,Parklands,Apartment,4,147,25000,4089607,7.34
NRB_PROP_1024,South B,Bungalow,1,46,25000,3579528,8.38
NRB_PROP_1025,Westlands,Bungalow,3,116,25000,4694517,6.39
NRB_PROP_1026,Parklands,Townhouse,4,146,25000,4990552,6.01
NRB_PROP_1027,Karen,Townhouse,1,50,25000,3316084,9.05
NRB_PROP_1028,Karen,Townhouse,2,75,25000,4104697,7.31
NRB_PROP_1029,Kileleshwa,Apartment,3,116,25000,3890990,7.71
NRB_PROP_1030,Westlands,Bungalow,3,112,25000,4387194,6.84
NRB_PROP_1031,Lavington,Apartment,1,39,25000,3503986,8.56
NRB_PROP_1032,Westlands,Townhouse,2,84,25000,3610487,8.31
NRB_PROP_1033,Kileleshwa,Bungalow,4,149,25000,3199907,9.38
NRB_PROP_1034,Lavington,Bungalow,4,151,25000,3163548,9.48
NRB_PROP_1035,Langata,Studio,1,46,25000,3279172,9.15
NRB_PROP_1036,South B,Apartment,2,79,25000,4420579,6.79
NRB_PROP_1037,Langata,Apartment,2,66,25000,3722296,8.06
NRB_PROP_1038,Kilimani,Apartment,1,45,25000,4410923,6.8
NRB_PROP_1039,Kilimani,Bungalow,1,45,25000,3846377,7.8
NRB_PROP_1040,Karen,Studio,1,43,25000,4444557,6.75
NRB_PROP_1041,Kileleshwa,Studio,1,52,25000,4379248,6.85
